"";"bplace";"lat";"lon"
"113";"Stublang";"11,043186";"50,078195"
"114";"Ützing";"11,067669";"50,86389"
"115";"Gundelsheim";"10,923772";"49,937533"
"116";"Hasslach";"8,089088";"48,276076"
"117";"Bayreuth";"11,569318";"49,942121"
"118";"Wuerzburg";"9,937878";"49,792405"
"119";"Nuernberg";"11,066060";"49,446642"
"120";"Greenville, SC";"-82,388125";"34,846735"
"121";"";"";""
"122";"";"";""
"123";"";"";""
"124";"";"";""
"125";"";"";""
"126";"";"";""
"127";"";"";""
"128";"";"";""
"129";"";"";""
"130";"";"";""
"131";"";"";""
"132";"";"";""
"133";"";"";""
"134";"";"";""
"135";"";"";""
"136";"";"";""
"137";"";"";""
"138";"";"";""
"139";"";"";""
"140";"";"";""
"141";"";"";""
"142";"";"";""
"143";"";"";""
"144";"";"";""
"145";"";"";""
"146";"";"";""
"147";"";"";""
"148";"";"";""
"149";"";"";""
"150";"";"";""
"151";"";"";""
"152";"";"";""
"153";"";"";""
"154";"";"";""
"155";"";"";""
"156";"";"";""
"157";"";"";""
"158";"";"";""
"159";"";"";""
"160";"";"";""
"161";"";"";""
"162";"";"";""
"163";"";"";""
"164";"";"";""
"165";"";"";""
"166";"";"";""
"167";"";"";""
"168";"";"";""
"169";"";"";""
"170";"";"";""
"171";"";"";""
"172";"";"";""
"173";"";"";""
"174";"";"";""
"175";"";"";""
"176";"";"";""
"177";"";"";""
"178";"";"";""
"179";"";"";""
"180";"";"";""
"181";"";"";""
"182";"";"";""
"183";"";"";""
"184";"";"";""
"185";"";"";""
"186";"";"";""
"187";"";"";""
"188";"";"";""
"189";"";"";""
"190";"";"";""
"191";"";"";""
